n_years,mean_delta,median_delta,win_rate,sign_test_p_one_sided,ci95_mean_delta_lo,ci95_mean_delta_hi,feature_block,metric,trim_q
15,-6.427767917720091e-06,-5.435772425134086e-06,0.6666666666666666,0.15087890624999997,-2.322402061918209e-05,9.586854313678095e-06,F1,mae,0.01
15,-7.046718076849962e-07,-3.7631150072024895e-07,0.6,0.30361938476562494,-1.6067254528059978e-06,1.0525179954834428e-07,F1,mse,0.01
15,-5.509174812943277e-07,-4.533215878642252e-07,0.6666666666666666,0.15087890624999997,-1.1866249751776798e-06,3.501301811085931e-08,F1,mse_trim,0.01
15,-7.95981853019094e-05,-5.9866224378698346e-05,1.0,3.0517578125e-05,-0.00010631240675479393,-5.513956400990136e-05,F2,mae,0.01
15,-5.7597189907332965e-06,-4.5592142355437015e-06,1.0,3.0517578125e-05,-8.367517896112115e-06,-3.4727190283985584e-06,F2,mse,0.01
15,-3.655603378713751e-06,-2.9380901476783487e-06,1.0,3.0517578125e-05,-5.190508839203656e-06,-2.37599808312897e-06,F2,mse_trim,0.01
15,-7.143707045317327e-05,-5.545370868432001e-05,1.0,3.0517578125e-05,-8.802203024237594e-05,-5.580878034832726e-05,F3,mae,0.01
15,-3.0439521324025956e-06,-2.636722151952691e-06,1.0,3.0517578125e-05,-4.18142881319594e-06,-2.0952083187366753e-06,F3,mse,0.01
15,-2.658565328131021e-06,-2.572194455865203e-06,1.0,3.0517578125e-05,-3.296885685059755e-06,-2.0688266203545134e-06,F3,mse_trim,0.01
