feature_block,avg_delta_mse,avg_delta_mae,avg_delta_mse_trim,avg_mse_joint,avg_mse_sep,avg_mae_joint,avg_mae_sep,avg_mse_trim_joint,avg_mse_trim_sep,trim_q
F1,-7.046718076849962e-07,-6.427767917720091e-06,-5.509174812943277e-07,0.0005291449784043254,0.0005298496502120104,0.013363811658367843,0.013370239426285563,0.0003042791035582655,0.0003048300210395598,0.01
F2,-5.7597189907332965e-06,-7.95981853019094e-05,-3.655603378713751e-06,0.0005289348590504667,0.0005346945780412,0.013361997429968613,0.013441595615270523,0.00030403995442252103,0.0003076955578012348,0.01
F3,-3.0439521324025956e-06,-7.143707045317327e-05,-2.658565328131021e-06,0.0005274480214116912,0.0005304919735440938,0.013337449432035,0.013408886502488174,0.00030270259129433686,0.0003053611566224679,0.01
