bucket,n_windows,avg_n_stocks_in_bucket,bucket_var_mean,bucket_var_min_mean,bucket_var_max_mean,mean_delta_mse,se_delta_mse
1,15,25.133333333333333,2275.5407008547004,1512.6,2877.733333333333,-9.125482500305985e-06,3.3657782995856566e-06
2,15,24.8,3346.5338892604987,2902.8,3574.8,-2.7155846952821902e-06,8.002979415574292e-07
3,15,24.8,3745.818121887774,3591.4666666666667,3926.0,-1.6838604943469093e-06,4.2980927220679215e-07
4,15,24.8,4094.6336432552953,3941.133333333333,4192.066666666667,-1.877645682809004e-06,5.770326108405468e-07
5,15,25.333333333333332,4278.479948717949,4196.6,4373.2,-9.249115109135267e-07,3.9758965369599566e-07
