bucket,n_stocks,bucket_var_min,bucket_var_max,bucket_var_mean,mean_delta_mse,se_delta_mse,n_observations
1,24,1010.0,1755.0,1465.7083333333333,-4.155838727719059e-06,1.5434968653712968e-06,342
2,23,1776.0,2020.0,1879.608695652174,-2.3575864206984333e-06,4.618805979004259e-07,321
3,23,2029.0,2331.0,2168.521739130435,-1.4149029663039152e-06,4.364312010729995e-07,296
4,23,2349.0,2470.0,2410.8260869565215,-1.6200585881769518e-06,4.152907172483857e-07,323
5,24,2477.0,2613.0,2539.7916666666665,-9.342209915681664e-07,4.046472176891377e-07,290
