bucket,n_stocks,bucket_var_min,bucket_var_max,bucket_var_mean,mean_delta_mse,se_delta_mse,n_observations
1,23,1016.0,2172.0,1592.391304347826,-4.680318847573026e-06,2.0719987024675863e-06,303
2,20,2254.0,2845.0,2512.0,-1.450981541117701e-07,2.8783461570237054e-07,259
3,12,2868.0,2969.0,2917.4166666666665,2.166239666514188e-07,4.791862839509617e-07,167
5,63,2970.0,2970.0,2970.0,6.036789158828943e-08,2.0098999730812906e-07,858
