bucket,n_windows,avg_n_stocks_in_bucket,bucket_var_mean,bucket_var_min_mean,bucket_var_max_mean,mean_delta_mse,se_delta_mse
1,15,25.066666666666666,2302.5761125975473,1490.8666666666666,2966.0666666666666,-2.873326596274884e-06,2.1314312090502545e-06
2,15,24.4,3714.896761426979,3027.2,4257.4,-1.6226555589383144e-06,8.802113940649943e-07
3,15,18.533333333333335,4573.976627106983,4295.333333333333,4729.2,1.9191442585762476e-07,3.2544118866902426e-07
5,15,57.2,4730.2,4730.2,4730.2,6.417928303901397e-08,2.4869329719538105e-07
