test_year,asset_id,n_obs,mse_sep,mse_joint,delta_mse,mean_pred_sep,mean_pred_joint,delta_mean_pred,std_pred_sep,std_pred_joint,delta_std_pred,mean_true,std_true
2011,0,254,0.00044133329488985925,0.0004460737494860222,4.740454596162944e-06,-0.0012381465621585921,0.0020010294392704964,0.0032391760014290885,0.00011894175203567866,0.0,-0.00011894175203567866,-0.00031635381552758005,0.020992938916130896
2011,1,254,0.0004589040389566302,0.0004608457087468029,1.9416697901726934e-06,-0.00019313432056251474,0.0004810625105164945,0.0006741968310790093,7.517494867458623e-05,0.0,-7.517494867458623e-05,-0.0014662664290772155,0.02137881237926521
2011,3,254,0.0006548163224711824,0.0006615983957212092,6.782073250026803e-06,0.00025804748568009203,0.001609473954886198,0.001351426469206106,0.0002099951635257958,0.0,-0.0002099951635257958,-0.0013210038938836093,0.025554073947202185
2011,4,254,7.094424659615549e-05,7.108411264150907e-05,1.398660453535885e-07,0.0006007256763657247,0.0006447207365060357,4.399506014031104e-05,4.4666800181941624e-05,2.5940473790390394e-07,-4.440739544403772e-05,0.00011087411022314347,0.008414239420770839
2011,5,254,0.0006274343499219951,0.0006354465421415063,8.0121922195112e-06,0.0001560938581237643,0.001410984667018056,0.0012548908088942917,0.00044065704562409847,0.0,-0.00044065704562409847,-0.0007606921605777137,0.025114345738999243
2011,7,254,0.0005318416237741427,0.0005625187694260745,3.067714565193182e-05,0.0007039424999961703,0.00014106307935435325,-0.000562879420641817,0.004746935038350683,0.0,-0.004746935038350683,0.00016264436534428332,0.02371746832345665
2011,8,254,0.0010009930816861727,0.0009981943903976823,-2.798691288490463e-06,0.0006859569451001685,-0.002241265494376421,-0.0029272224394765894,0.0006084946140702993,0.0,-0.0006084946140702993,-0.0015346182837623836,0.03158631096088007
2011,10,254,0.0006763662745799093,0.0006995509223437581,2.3184647763848732e-05,0.0016128742612722352,0.004191005602478981,0.002578131341206746,0.00016381973427360416,0.0,-0.00016381973427360416,-0.0017163044255996422,0.025780896232984598
2011,12,254,0.000575381446499266,0.0005747397054648119,-6.41741034454078e-07,-0.0005909418797223117,-0.001099762856028974,-0.0005088209763066624,8.043497847339195e-05,0.0,-8.043497847339195e-05,-0.0017795261549306582,0.02396409037126755
2011,13,254,0.00032065051902370955,0.000321319651489243,6.691324655334592e-07,0.0009157292867504706,0.0011874641058966517,0.00027173481914618115,0.00027809258936473585,0.0,-0.00027809258936473585,-0.001179956176294687,0.017768370006748274
2011,14,254,4.6624181353913006e-05,4.688768052602251e-05,2.634991721095045e-07,-0.00046072425100747053,0.0005031973123550415,0.000963921563362512,0.0001572685406944971,0.0,-0.0001572685406944971,-0.00027828206665994897,0.006802717876422396
2011,15,254,0.00011276898736867716,0.00011269201336365419,-7.697400502297482e-08,0.00032287096150043445,0.00042415561620146036,0.00010128465470102591,0.0002865889913935373,0.0,-0.0002865889913935373,-0.00025341006236552727,0.01059400387553649
2011,16,254,0.00026530912274741513,0.000273241795287413,7.932672539997859e-06,0.0007064479190533556,0.002951171947643161,0.002244724028589805,0.00022881769558051867,0.0,-0.00022881769558051867,-0.00016610283885793193,0.016233434423832106
2011,17,254,0.00020829804178895887,0.0002065234592002541,-1.774582588704777e-06,0.0022330884858379214,0.0004159578529652208,-0.0018171306328727006,0.0003816330756508898,0.0,-0.0003816330756508898,0.0009090896157635795,0.014362460801157065
2011,18,254,0.00094674021636361,0.0009405619733783328,-6.178242985277211e-06,0.0012243975863212675,7.519022619817406e-05,-0.0011492073601230934,0.0006460495264987482,0.0,-0.0006460495264987482,-0.0018217654067847202,0.030609860056929797
2011,19,254,0.0004194431401937306,0.0004183850826130228,-1.0580575807078501e-06,0.0010177338950511977,0.0008790518040768802,-0.0001386820909743175,0.0002476169452213741,0.0,-0.0002476169452213741,0.0003069581875896326,0.020446461588915495
2011,20,254,0.0008367283028024568,0.0008362811230803202,-4.471797221366862e-07,-0.00043659763572018916,-0.0006671517039649189,-0.0002305540682447297,0.00026742434298403526,0.0,-0.00026742434298403526,-0.002956471667233794,0.028827766774172762
2011,21,254,0.0002692253990593354,0.000268485004734504,-7.403943248313559e-07,0.0009448680821366197,0.0005389399593695998,-0.0004059281227670199,7.941902045202578e-05,0.0,-7.941902045202578e-05,7.411202164594376e-05,0.01637891753818963
2011,23,254,0.0005298270687929277,0.0005310223781403602,1.1953093474324945e-06,0.0010881724173393776,0.0012357617961242795,0.00014758937878490194,0.00018095738857155336,0.0,-0.00018095738857155336,-0.002093888621940303,0.022802100917105043
2011,24,254,0.0008304368969593264,0.0008290935088933253,-1.343388066001104e-06,0.0022136800753788685,-0.0010629902826622128,-0.0032766703580410813,0.000334387271911354,0.0,-0.000334387271911354,0.00027476009157473323,0.028762891593675937
2011,25,254,0.0005466248295047647,0.0005392969108357407,-7.327918669023997e-06,0.002659510315109895,0.001176756341010332,-0.001482753974099563,0.0005145545433894802,0.0,-0.0005145545433894802,6.170925510203477e-05,0.023195981997577678
2011,28,254,0.00036142039322851365,0.00036409710667435063,2.676713445836981e-06,0.00028643339109702374,0.0015163510106503963,0.0012299176195533727,3.367668332357004e-05,0.0,-3.367668332357004e-05,-0.00017491500015196277,0.019006228609459976
2011,29,254,0.0009801684554422935,0.0009726735318842718,-7.494923558021651e-06,0.000985674193407607,-0.00010431218834128231,-0.0010899863817488893,0.0006055120988604032,0.0,-0.0006055120988604032,-0.003490600003501789,0.031003331864771687
