test_year,n_assets,mean_mse_sep,mean_mse_joint,delta_mean_mse,cross_asset_std_mean_pred_sep,cross_asset_std_mean_pred_joint,delta_cross_asset_std_mean_pred,avg_within_std_pred_sep,avg_within_std_pred_joint,delta_avg_within_std_pred,corr_delta_stdpred_delta_mse
2011,117,0.0005825400775281805,0.0005756228671229424,-6.917210405238197e-06,0.0023238655088696205,0.0016315878652683861,-0.0006922776436012344,0.001286138444399752,0.0024187417012462025,0.0011326032568464502,-0.4407822030573443
2012,120,0.0003410931047399628,0.00034000201211591906,-1.0910926240437371e-06,0.001391761186279243,0.0013699201299298704,-2.1841056349372525e-05,0.0008989065947117663,5.191278063075258e-05,-0.0008469938140810137,-0.0539200183340893
2013,123,0.0003254722905485501,0.0003223051657640281,-3.167124784521954e-06,0.0016273355491426987,0.0013935887935792042,-0.00023374675556349454,0.0008213684565090392,8.835481468163599e-06,-0.0008125329750408755,0.6473955623683346
2014,129,0.0005310377013567555,0.0005213800193071201,-9.65768204963537e-06,0.0017712710274884157,0.0012263040692278536,-0.0005449669582605621,0.001214659338854512,7.517306057739032e-05,-0.001139486278277122,0.9196148948628349
2015,126,0.0005171953202065079,0.0005076109437955192,-9.584376410988765e-06,0.0023854883597215337,0.0014013586196377295,-0.0009841297400838042,0.001167448292749213,0.0,-0.001167448292749213,0.8140059082407621
2016,129,0.00038731743814638563,0.00038545757392096996,-1.859864225415625e-06,0.0016985391605851316,0.0014628283033527277,-0.00023571085723240385,0.000879927046151617,0.0,-0.000879927046151617,0.4065473795549928
2017,130,0.00028201982617360446,0.00027933129313316353,-2.6885330404409134e-06,0.0012986095911974894,0.0012952299772366802,-3.3796139608092447e-06,0.0008635469881229403,7.661575633813117e-06,-0.0008558854124891271,0.5732721469912376
2018,130,0.0004459382050326273,0.0004457253744487295,-2.1283058389780162e-07,0.001244825242083853,0.0013943530785096318,0.0001495278364257789,0.0008926465880143463,3.0987464229348905e-05,-0.0008616591237849975,0.192833495999742
2019,129,0.00044814436312144257,0.00044360744982953,-4.536913291912502e-06,0.0016178028918152716,0.0012212449227137951,-0.00039655796910147644,0.0008771037122046466,0.0,-0.0008771037122046466,0.4895394604822121
2020,128,0.0008261916577418699,0.0008201728814456961,-6.018776296173819e-06,0.0016450951941875084,0.0012404227589298468,-0.00040467243525766153,0.0019885900123971156,0.0,-0.0019885900123971156,0.7639673281817242
2021,126,0.00034127609281062854,0.0003388271784813674,-2.448914329261065e-06,0.0017630509256942794,0.0012505539814441217,-0.0005124969442501578,0.0007749603507670679,1.0286817898527238e-06,-0.0007739316689772151,0.3726498533795732
2022,126,0.0005918246563090426,0.000588852918954598,-2.9717373544447216e-06,0.0015270720399145742,0.0010985471113730636,-0.0004285249285415106,0.0010970083137011224,0.0,-0.0010970083137011224,0.009945302434215953
2023,123,0.0005352212997980928,0.0005298423035894199,-5.378996208673155e-06,0.0017753219614047725,0.001206220660969207,-0.0005691013004355656,0.0010189659426358014,0.0,-0.0010189659426358014,0.7955976740140045
2024,119,0.001232192053826973,0.0012156270934298385,-1.6564960397134977e-05,0.003127193104280137,0.0012514748553392502,-0.0018757182489408867,0.0012949330713095562,1.145058422727371e-05,-0.0012834824870822823,0.9776593793330918
2025,118,0.000716136532793298,0.0006999807179586254,-1.6155814834672582e-05,0.0030337534881383437,0.0011089545191017797,-0.001924798969036564,0.0012438385020481651,0.0,-0.0012438385020481651,0.8947327212565427
