test_year,n_assets,mean_mse_sep,mean_mse_joint,delta_mean_mse,cross_asset_std_mean_pred_sep,cross_asset_std_mean_pred_joint,delta_cross_asset_std_mean_pred,avg_within_std_pred_sep,avg_within_std_pred_joint,delta_avg_within_std_pred,corr_delta_stdpred_delta_mse,frac_zero_std_joint,frac_zero_std_sep
2011,117,0.0005815297065858114,0.0005748215517256216,-6.708154860189981e-06,0.0022827667223919504,0.0014741942249613317,-0.0008085724974306186,0.0010381902587556695,3.975244054574016e-05,-0.0009984378182099293,0.2776160528522395,0.9401709401709402,0.0
2012,120,0.00034266388879421194,0.0003400476022155776,-2.6162865786343625e-06,0.0014526992398904398,0.0013935590223722392,-5.914021751820056e-05,0.0011427189412806528,4.106081757583031e-05,-0.0011016581237048226,0.43940581295915937,0.6666666666666666,0.0
2013,123,0.000323574008436986,0.00032295121834241926,-6.227900945667657e-07,0.0016107876262157824,0.0013755063512002098,-0.00023528127501557254,0.0010104055837578526,1.6991381953443077e-05,-0.0009934142018044095,0.08478317060283025,0.7154471544715447,0.0
2014,129,0.0005226059476890277,0.0005210734818038152,-1.5324658852126512e-06,0.0016515125546437454,0.0013733480428058994,-0.000278164511837846,0.0010044485926827382,2.572270345727842e-07,-0.0010041913656481652,0.13589750707512047,0.9922480620155039,0.0
2015,126,0.0005118593879930292,0.0005087823594144165,-3.077028578612847e-06,0.002217715364324694,0.0013879524272425237,-0.0008297629370821703,0.0009749170134277481,5.9580456410066684e-05,-0.0009153365570176815,0.1341735993180568,0.7301587301587301,0.0
2016,129,0.00038757184622286036,0.00038466190352419986,-2.909942698660415e-06,0.0017659799176380677,0.0012478466026161535,-0.0005181333150219142,0.000979955752474591,2.465207603085253e-05,-0.0009553036764437382,0.36998956035045233,0.7286821705426356,0.0
2017,130,0.0002820967202626011,0.0002800125567550912,-2.084163507509939e-06,0.001476415996284983,0.0014139873939937252,-6.242860229125767e-05,0.000942626578340343,3.7550858595360815e-06,-0.0009388714924808068,0.5154516070887044,0.9384615384615385,0.0
2018,130,0.0004459338656874719,0.00044463415592940617,-1.2997097580656648e-06,0.001469026056627182,0.0013029950598138823,-0.0001660309968132996,0.0007990127106770584,2.355793098879461e-05,-0.0007754547796882639,-0.10970610569611736,0.6615384615384615,0.0
2019,129,0.00045391847309467773,0.00044825897900681273,-5.659494087864996e-06,0.0015331901124549093,0.0012559347507289334,-0.0002772553617259759,0.0007497056967613105,3.3259061874004165e-05,-0.0007164466348873062,0.3704310659962106,0.7441860465116279,0.0
2020,128,0.0008325149749324311,0.0008300634540086931,-2.4515209237379604e-06,0.0014470931844666815,0.0012773157238415546,-0.00016977746062512688,0.001046220865615797,1.5173728383141466e-05,-0.0010310471372326556,0.26032750053242065,0.9453125,0.0
2021,126,0.00034046651282424785,0.0003385327040309926,-1.933808793255149e-06,0.0016322805549442352,0.0012092710713886231,-0.000423009483555612,0.000761239297852673,9.932001806850777e-06,-0.0007513072960458222,0.43178867687876354,0.8968253968253969,0.0
2022,126,0.000600073346083396,0.0005968578479375268,-3.215498145869016e-06,0.0016807739076632544,0.0011924403353141978,-0.0004883335723490567,0.0008487979534689962,5.591665005221462e-07,-0.0008482387869684741,0.2987855472225682,0.9761904761904762,0.0
2023,123,0.00053613801067813,0.0005326172763874852,-3.52073429064485e-06,0.0016563353912077087,0.0012537150573415498,-0.0004026203338661589,0.0008529687056286769,3.3775540046676636e-07,-0.0008526309502282103,0.5105171621815511,0.975609756097561,0.0
2024,119,0.0012178990638185695,0.0012179033990428383,4.3352242688087016e-09,0.0015936671926355507,0.0012298232540578896,-0.0003638439385776611,0.0007506099361484116,0.0,-0.0007506099361484116,-0.015217704014472705,1.0,0.0
2025,118,0.0007216465430004773,0.0007100692102785514,-1.1577332721925811e-05,0.0027311722586531523,0.0011194345712736522,-0.0016117376873795001,0.0008675222039988466,4.660755304183541e-08,-0.0008674755964458048,0.5285429486070461,0.9915254237288136,0.0
