method,avg_micro_mse,avg_macro_mse,avg_skill_micro_vs_zero,avg_skill_macro_vs_zero
pooledmean,0.0005275465248781668,0.00053281054717238,0.000240963707115401,0.0002419651741406718
jamesstein,0.0005275465248781668,0.00053281054717238,0.000240963707115401,0.0002419651741406718
zero,0.0005276024060639066,0.0005328628148414399,,
sepmean,0.0005277027367678334,0.0005329560787273001,-9.519064235507339e-05,-7.28051660276711e-05
joint,0.0005291449784042733,0.00053437138531924,-0.003309308856755999,-0.00321156145779562
sep,0.0005298496502119667,0.0005352058233510999,-0.004865950927959428,-0.004991950920367238
