feature_block,test_year,zero_micro,zero_macro,zero_n_test,sep_micro,sep_macro,sep_n_test,joint_micro,joint_macro,joint_n_test,joint_n_val,joint_n_train,delta_micro,delta_micro_pct,skill_micro_sep,skill_micro_joint,skill_micro_delta,delta_macro,delta_macro_pct,skill_macro_sep,skill_macro_joint,skill_macro_delta
F3,2011,0.0005721775768995,0.0005718733338872,29264,0.0005794153233947,0.0005815297065858,29264,0.0005750932615539,0.0005747242756474,29264,29477,244688,-4.322061840800022e-06,-0.7459350255836807,-0.012649475944897626,-0.00509576881743512,0.007553707127462506,-6.805430938400009e-06,-1.1702636789365675,-0.016885509651171526,-0.004985267875355026,0.0119002417758165
F3,2012,0.0003401654032323,0.0003383598717547,29833,0.0003444891402837,0.0003426638887942,29833,0.0003418578652337,0.0003400476022155,29833,30348,274712,-2.6312750499999835e-06,-0.7638194480769489,-0.01271069018282045,-0.004975408978449947,0.007735281204370503,-2.6162865786999966e-06,-0.7635139459563269,-0.012720234870582603,-0.004987974643824167,0.007732260226758436
F3,2013,0.0003215355877497,0.0003211651412917,30564,0.0003239440799651,0.0003235740084369,30564,0.0003233253356546,0.0003229512183424,30564,30750,304709,-6.187443105000337e-07,-0.19100343200181152,-0.007490592976833854,-0.005566251367152608,0.001924341609681246,-6.227900945000061e-07,-0.19247222529044883,-0.007500400371944993,-0.005561241931538952,0.0019391584404060414
F3,2014,0.0005176949309865,0.0005186948088589,31923,0.0005216414041732,0.000522605947689,31923,0.0005200646977895,0.0005210734818038,31923,32121,341370,-1.5767063837000004e-06,-0.30225867254518934,-0.007623163663549315,-0.004577535264802091,0.0030456283987472244,-1.532465885199937e-06,-0.2932354467025506,-0.007540346969548972,-0.004585881532404246,0.0029544654371447265
F3,2015,0.0005063226412598,0.0005063226412598,31626,0.000511859387993,0.000511859387993,31626,0.0005087823594144,0.0005087823594144,31626,31315,362903,-3.0770285785999742e-06,-0.6011472390230058,-0.010935214588515763,-0.00485800545770565,0.006077209130810113,-3.0770285785999742e-06,-0.6011472390230058,-0.010935214588515763,-0.00485800545770565,0.006077209130810113
F3,2016,0.0003854331269233,0.0003834398057078,32399,0.0003894289797595,0.0003875718462228,32399,0.0003866708116056,0.0003846619035241,32399,32230,398656,-2.7581681539000412e-06,-0.7082596050256469,-0.010367175411456486,-0.003211152845578491,0.007156022565877995,-2.9099426987000214e-06,-0.7508137464214075,-0.010776242981274553,-0.0031871960034093316,0.007589046977865221
F3,2017,0.0002773123122904,0.0002787041109405,32204,0.0002805926899564,0.0002820967202626,32204,0.0002784980087735,0.000280012556755,32204,33020,423839,-2.0946811828999735e-06,-0.7465202258923626,-0.011829181470185857,-0.004275671979029783,0.007553509491156074,-2.0841635075999993e-06,-0.7388116762434812,-0.012172799714548432,-0.004694748886496791,0.007478050828051641
F3,2018,0.000421432007612,0.0004411894588164,32112,0.0004266495668124,0.0004459338656874,32112,0.0004248013279081,0.0004446341559294,32112,32630,448912,-1.848238904299975e-06,-0.43319835482515684,-0.012380548003377179,-0.00799493212485669,0.004385615878520488,-1.2997097580000013e-06,-0.29145796226902826,-0.010753672319660623,-0.007807750262758484,0.0029459220569021394
F3,2019,0.0004360414276207,0.0004476182256359,31904,0.0004423069110853,0.0004539184730946,31904,0.0004367595691321,0.0004482589790068,31904,32071,475547,-5.547341953199975e-06,-1.2541838741764892,-0.014369009611743033,-0.0016469570685486712,0.012722052543194362,-5.659494087800006e-06,-1.2468084960755772,-0.014075046765018806,-0.0014314729253701586,0.012643573839648647
F3,2020,0.0007687087500468,0.0008283243504162,31883,0.0007731509083488,0.0008325149749324,31883,0.0007705141861968,0.0008300634540086,31883,31739,504339,-2.6367221520000707e-06,-0.3410358991404738,-0.005778727381117621,-0.002348660854829765,0.003430066526287856,-2.4515209237999666e-06,-0.2944716909145123,-0.00505915890809483,-0.002099544208167048,0.0029596146999277817
F3,2021,0.000337745735697,0.0003379202211716,31857,0.0003403041425118,0.0003404665128242,31857,0.0003383480028959,0.0003385327040309,31857,31653,528109,-1.9561396158999564e-06,-0.5748209826250139,-0.007574949272180387,-0.0017831970480906012,0.005791752224089786,-1.9338087932999895e-06,-0.5679879578343473,-0.007535185801464506,-0.0018125072751682403,0.005722678526296265
F3,2022,0.0005863768548546,0.0005946096385939,31459,0.0005919178796504,0.0006000733460833,31459,0.0005886698387103,0.0005968578479375,31459,31857,559762,-3.2480409401000176e-06,-0.5487316825128485,-0.00944959670547374,-0.003910426949352619,0.005539169756121121,-3.2154981458000975e-06,-0.5358508533644708,-0.009188730109253251,-0.0037809836869047153,0.005407746422348536
F3,2023,0.0005124527655787,0.0005315975994616,30540,0.0005172166337836,0.0005361380106781,30540,0.000513526550569,0.0005326172763874,30540,30997,576502,-3.690083214599911e-06,-0.7134502205789107,-0.009296209377502862,-0.002095383345404489,0.007200826032098373,-3.5207342906999877e-06,-0.6566843276504516,-0.008541067945187386,-0.0019181368140728239,0.006622931131114562
F3,2024,0.0012074495969985,0.0012160054849181,29587,0.0012094900285672,0.0012178990638185,29587,0.0012093239444809,0.0012179033990428,29587,29717,585516,-1.660840863000005e-07,-0.013731744981539777,-0.0016898689384401422,-0.0015523194401316776,0.00013754949830846463,4.335224300204554e-09,0.00035595924399615275,-0.001557212466461344,-0.0015607776019430641,-3.5651354817201053e-06
F3,2025,0.0006944330865558,0.0007085188309838,19084,0.0007049725268758,0.0007216465430004,19084,0.0006959827370932,0.0007100692102785,19084,29421,609506,-8.989789782600042e-06,-1.275197180014908,-0.015177042286784959,-0.0022315332713851443,0.012945509015399814,-1.1577332721899973e-05,-1.6042940736284461,-0.01852838829755843,-0.0021881977258773055,0.016340190571681124
