bucket,n_stocks,bucket_var_min,bucket_var_max,bucket_var_mean,mean_delta_mse,se_delta_mse,n_observations
1,24,1018.0,2235.0,1652.5416666666667,-7.822149092155906e-06,2.5609468984218775e-06,310
2,23,2257.0,2849.0,2592.8260869565215,-1.3396009918492388e-06,5.153297125028202e-07,299
3,7,2879.0,2950.0,2931.0,-7.636643693832434e-07,6.954214339416885e-07,105
5,63,2951.0,2951.0,2951.0,-1.351622923854426e-06,3.0632213804408873e-07,858
