bucket,n_windows,avg_n_stocks_in_bucket,bucket_var_mean,bucket_var_min_mean,bucket_var_max_mean,mean_delta_mse,se_delta_mse
1,15,24.866666666666667,2295.5386989966555,1513.1333333333334,2952.6666666666665,-2.249250993471218e-05,6.7753851647163564e-06
2,15,24.866666666666667,3705.624413469515,3019.133333333333,4242.466666666666,-3.5954695432838194e-06,1.384749887082929e-06
3,15,17.933333333333334,4561.322209895652,4285.466666666666,4710.2,-1.1823852174865878e-06,4.267139452877555e-07
5,15,57.2,4711.2,4711.2,4711.2,-1.3647027444994903e-06,3.9744187254632567e-07
